Epoch,Loss,Accuracy
1,2.51580548286438,0.2998046875
2,1.9071708917617798,0.4638671875
3,1.570910930633545,0.5400390625
4,1.4050419330596924,0.576171875
5,1.2956373691558838,0.6005859375
6,1.1961822509765625,0.626953125
7,1.1263108253479004,0.654296875
8,1.0685584545135498,0.6640625
9,1.0277817249298096,0.685546875
10,0.9901002645492554,0.701171875
11,0.9572804570198059,0.6865234375
12,0.9129759073257446,0.7060546875
13,0.8730452060699463,0.720703125
14,0.8649041652679443,0.716796875
15,0.818975567817688,0.7392578125
16,0.8296362161636353,0.7275390625
17,0.7764986157417297,0.7509765625
18,0.7521068453788757,0.74609375
19,0.7641146183013916,0.7548828125
20,0.709789514541626,0.7783203125
21,0.7079275250434875,0.7685546875
22,0.6911640167236328,0.7685546875
23,0.6681431531906128,0.7822265625
24,0.6466740369796753,0.79296875
25,0.6519209146499634,0.7900390625
26,0.6126776933670044,0.80078125
27,0.6241726875305176,0.798828125
28,0.592719554901123,0.80859375
29,0.5855292081832886,0.80859375
30,0.5826150178909302,0.8037109375
31,0.5569241642951965,0.818359375
32,0.5660203099250793,0.8125
33,0.5474919080734253,0.8251953125
34,0.524006724357605,0.830078125
35,0.5178095102310181,0.8359375
36,0.5174451470375061,0.8310546875
37,0.5252645015716553,0.830078125
38,0.47998353838920593,0.8408203125
39,0.4664404094219208,0.8466796875
40,0.4703068435192108,0.859375
41,0.46928757429122925,0.8466796875
42,0.44800645112991333,0.849609375
43,0.44693636894226074,0.8466796875
44,0.4321611523628235,0.8466796875
45,0.42184895277023315,0.8515625
46,0.43652838468551636,0.8623046875
47,0.4258524477481842,0.8623046875
48,0.43575504422187805,0.8564453125
49,0.4119885265827179,0.8701171875
50,0.43323445320129395,0.8515625
51,0.41447824239730835,0.86328125
52,0.39388829469680786,0.8681640625
53,0.4202803075313568,0.861328125
54,0.40963494777679443,0.8720703125
55,0.3876541256904602,0.87109375
56,0.40212440490722656,0.8720703125
57,0.36962035298347473,0.8896484375
58,0.3899170160293579,0.8740234375
59,0.37356626987457275,0.8818359375
60,0.3584490716457367,0.8857421875
61,0.3506582975387573,0.8837890625
62,0.35966670513153076,0.8828125
63,0.30696576833724976,0.896484375
64,0.357515811920166,0.876953125
65,0.32433632016181946,0.89453125
66,0.3279235064983368,0.8818359375
67,0.34877312183380127,0.8818359375
68,0.35079285502433777,0.89453125
69,0.32178109884262085,0.89453125
70,0.3344680666923523,0.892578125
71,0.3176648020744324,0.888671875
72,0.313414603471756,0.8994140625
73,0.2978246212005615,0.8994140625
74,0.31097206473350525,0.9033203125
75,0.31488388776779175,0.89453125
76,0.3237043023109436,0.888671875
77,0.30477145314216614,0.8916015625
78,0.3057914972305298,0.888671875
79,0.3241158127784729,0.9013671875
80,0.30030858516693115,0.904296875
81,0.30448031425476074,0.9072265625
82,0.30541491508483887,0.904296875
83,0.3011173903942108,0.9033203125
84,0.28716105222702026,0.904296875
85,0.29259437322616577,0.8984375
86,0.2798658609390259,0.9072265625
87,0.2893938422203064,0.8974609375
88,0.29464536905288696,0.90625
89,0.28955984115600586,0.8984375
90,0.27228039503097534,0.904296875
